critic,fresh,imdb,publication,quote,review_date,rtid,title,quote_len,qt
Todd McCarthy,0,112760.0,Variety,"What seemed like a dubious proposition on paper plays even more dubiously onscreen, as ""Cutthroat Island"" strenuously but vainly attempts to revive the thrills of old-fashioned pirate pictures.",2009-03-26,10672.0,Cutthroat Island,28,what seemed like a dubious proposition on paper plays even more dubiously onscreen as cutthroat island strenuously but vainly attempts to revive the thrills of old fashioned pirate pictures
Trevor Johnston,0,112760.0,Time Out,"In this $90m revisionist swashbuckler, we get Geena Davis doing the all-action honours, and a hotchpotch script that seems to think pirate movies are so funny in themselves the need for more humour is superfluous.",2006-02-09,10672.0,Cutthroat Island,35,in this m revisionist swashbuckler we get geena davis doing the all action honours and a hotchpotch script that seems to think pirate movies are so funny in themselves the need for more humour is superfluous
Janet Maslin,0,112760.0,New York Times,"t's not possible to believe that Ms. Davis is the highly respected captain of a pirate ship, and it's not even fun to try.",2003-05-20,10672.0,Cutthroat Island,24,ts not possible to believe that ms davis is the highly respected captain of a pirate ship and its not even fun to try
Susan Wloszczyna,1,112760.0,USA Today,"If the sight of half-naked, tattooed sailors firing cannons at each other shivers your timbers, climb aboard. Even passable pirate movies don't sail by every day.",2000-01-01,10672.0,Cutthroat Island,26,if the sight of half naked tattooed sailors firing cannons at each other shivers your timbers climb aboard even passable pirate movies dont sail by every day
Desson Thomson,0,112760.0,Washington Post,It takes a two-hour act of will to keep facing the screen during this moribund movie.,2000-01-01,10672.0,Cutthroat Island,16,it takes a two hour act of will to keep facing the screen during this moribund movie
Owen Gleiberman,1,112641.0,Entertainment Weekly,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.",2010-01-25,13456.0,Casino,39,stone seems to be trying to enter a more passionate movie where a neurotic gold digger could at least have a good time by the end of casino for all its craftsmanly bravura you may want to join her
Richard Schickel,1,112641.0,TIME Magazine,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.",2010-01-25,13456.0,Casino,34,so long as casino stays focused on the excesses    of language of violence of ambition    in the life styles of the rich and infamous it remains a smart knowing if often repetitive spectacle
Todd McCarthy,1,112641.0,Variety,"Martin Scorsese's intimate epic about money, sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.",2008-05-16,13456.0,Casino,38,martin scorseses intimate epic about money sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power
David Ansen,0,112641.0,Newsweek,"It's not the actors' fault that no one is able to break through the film's gorgeous but chilly surface. You watch Casino with respect and appreciation, reveling in its documentary sense of detail.",2008-03-31,13456.0,Casino,33,its not the actors fault that no one is able to break through the films gorgeous but chilly surface you watch casino with respect and appreciation reveling in its documentary sense of detail
Hal Hinson,0,112641.0,Washington Post,"Scorsese may be flailing here, but Scorsese flailing is more formidable than most directors at the top of their form.",2006-08-09,13456.0,Casino,20,scorsese may be flailing here but scorsese flailing is more formidable than most directors at the top of their form
Geoff Andrew,0,112641.0,Time Out,"The result, sadly, is that contradiction in terms, a dull Scorsese movie.",2006-02-09,13456.0,Casino,12,the result sadly is that contradiction in terms a dull scorsese movie
Janet Maslin,1,112641.0,New York Times,"Of all the bravura visual effects in Martin Scorsese's dazzlingly stylish Casino, it's a glimpse of ordinary people that delivers the greatest jolt.",2003-05-20,13456.0,Casino,23,of all the bravura visual effects in martin scorseses dazzlingly stylish casino its a glimpse of ordinary people that delivers the greatest jolt
Rick Groen,1,112641.0,Globe and Mail,"Visually impressive, splendidly performed, thematically significant, this is a movie in full possession of every key cinematic asset except one -- a solid script.",2002-04-12,13456.0,Casino,24,visually impressive splendidly performed thematically significant this is a movie in full possession of every key cinematic asset except one    a solid script
Kenneth Turan,1,112641.0,Los Angeles Times,"Martin Scorsese is a master filmmaker, so skilled in the manipulation of imagery he might be the most proficient of active American directors.",2001-02-13,13456.0,Casino,23,martin scorsese is a master filmmaker so skilled in the manipulation of imagery he might be the most proficient of active american directors
Desson Thomson,0,112641.0,Washington Post,"After coming out gangbusters in its first and finest hour, the 180-minute movie loses all its chips in the remaining two.",2000-01-01,13456.0,Casino,21,after coming out gangbusters in its first and finest hour the  minute movie loses all its chips in the remaining two
Roger Ebert,1,112641.0,Chicago Sun-Times,Martin Scorsese's fascinating new film Casino knows a lot about the Mafia's relationship with Las Vegas.,2000-01-01,13456.0,Casino,16,martin scorseses fascinating new film casino knows a lot about the mafias relationship with las vegas
James Berardinelli,1,112641.0,ReelViews,"In every way -- from the fantastic sets, rich dialogue, and unapologetic violence to the well-portrayed characters and themes of loyalty and betrayal -- Casino is pure Scorsese.",2000-01-01,13456.0,Casino,28,in every way    from the fantastic sets rich dialogue and unapologetic violence to the well portrayed characters and themes of loyalty and betrayal    casino is pure scorsese
Mike Clark,1,112641.0,USA Today,"Whether you find it exhilarating, expendable or exhausting -- and you will find it exhausting -- Martin Scorsese's Casino is the spectacular last word on urban sprawl.",2000-01-01,13456.0,Casino,27,whether you find it exhilarating expendable or exhausting    and you will find it exhausting    martin scorseses casino is the spectacular last word on urban sprawl
Todd McCarthy,1,114388.0,Variety,Thompson's script manages the neat trick of preserving the necessary niceties and decorum of civilized behavior of the time while still cutting to the dramatic quick.,2009-01-30,10042.0,Sense and Sensibility,26,thompsons script manages the neat trick of preserving the necessary niceties and decorum of civilized behavior of the time while still cutting to the dramatic quick
Jonathan Rosenbaum,1,114388.0,Chicago Reader,I can't say I remembered this 1995 feature too clearly a couple of days later; but I certainly had a good time as I watched it.,2007-02-09,10042.0,Sense and Sensibility,26,i cant say i remembered this  feature too clearly a couple of days later but i certainly had a good time as i watched it
Geoff Andrew,1,114388.0,Time Out,Thompson and Winslet give fine performances ably supported by the rest of the ensemble.,2006-06-24,10042.0,Sense and Sensibility,14,thompson and winslet give fine performances ably supported by the rest of the ensemble
Kenneth Turan,1,114388.0,Los Angeles Times,"The sensibility may be a bit off, but there is more than enough sense involved in this mid-Atlantic Austen to make up the difference.",2001-02-13,10042.0,Sense and Sensibility,24,the sensibility may be a bit off but there is more than enough sense involved in this mid atlantic austen to make up the difference
Sean Means,1,114388.0,Film.com,Thompson's script hits its peak by keeping Austen's voice yet finding the satirical smirk behind it.,2000-01-01,10042.0,Sense and Sensibility,16,thompsons script hits its peak by keeping austens voice yet finding the satirical smirk behind it
